Keyword,Title,URL
iot,Beach Weather Stations - Automated Sensors,https://catalog.data.gov/dataset/beach-weather-stations-automated-sensors
iot,C-V2X Interoperability Testing Datasets,https://catalog.data.gov/dataset/c-v2x-interoperability-testing-datasets
iot,Divvy Bicycle Stations - Historical,https://catalog.data.gov/dataset/divvy-bicycle-stations-historical
iot,SplitSmart: An Open Dataset for Enabling Research in Energy-Efficient Ductless-Split Air Conditioner,https://catalog.data.gov/dataset/splitsmart-an-open-dataset-for-enabling-research-in-energy-efficient-ductless-split-air-co
iot,Rain Gauges,https://catalog.data.gov/dataset/rain-gages
iot,Beach Water Quality - Automated Sensors,https://catalog.data.gov/dataset/beach-water-quality-automated-sensors
iot,Streamgages,https://catalog.data.gov/dataset/stream-gages
iot,Smart Green Infrastructure Monitoring Sensors - Historical,https://catalog.data.gov/dataset/smart-green-infrastructure-monitoring-sensors-historical
iot,Time Series Data from Sensors in the Duct Above a Kitchen Cooktop During Normal Cooking and Ignition Conditions,https://catalog.data.gov/dataset/time-series-data-from-sensors-in-the-duct-above-a-kitchen-cooktop-during-normal-cooking-an-451cd
iot,Data from: Avian Sentinels Neural Nest: AI-Powered Bird Monitoring System for Real-Time Detection and Species Identification,https://catalog.data.gov/dataset/data-from-avian-sentinels-neural-nest-ai-powered-bird-monitoring-system-for-real-time-dete
iot,Array of Things Locations,https://catalog.data.gov/dataset/array-of-things-locations
iot,C-V2X Interoperability Analyzer,https://catalog.data.gov/dataset/c-v2x-interoperability-analyzer
iot,NIST Soft MUD:  A reference implementation of a Manufacturer's Usage Description (MUD) manager using Software Defined Networking (SDN).,https://catalog.data.gov/dataset/nist-soft-mud-a-reference-implementation-of-a-manufacturers-usage-description-mud-manager-
iot,Feature Description for Assessing Autonomous Vehicle Performance,https://catalog.data.gov/dataset/feature-description-for-assessing-autonomous-vehicle-performance
iot,Gateway for Co-Simulation using ns-3,https://catalog.data.gov/dataset/gateway-for-co-simulation-using-ns-3
iot,Intel Edison wireless latency and reliability computing code,https://catalog.data.gov/dataset/intel-edison-wireless-latency-and-reliability-computing-code-502e9
iot,Universal Cyber-Physical Systems Environment for Federation (UCEF),https://catalog.data.gov/dataset/universal-cyber-physical-systems-environment-for-federation-ucef
iot,Device Sites,https://catalog.data.gov/dataset/device-sites
iot,PION: Password-based IoT Onboarding Over Named Data Networking,https://catalog.data.gov/dataset/pion-password-based-iot-onboarding-over-named-data-networking
sensor,Photovoltaic Data Acquisition (PVDAQ) Public Datasets,https://catalog.data.gov/dataset/photovoltaic-data-acquisition-pvdaq-public-datasets
sensor,Li-ion Battery Aging Datasets,https://catalog.data.gov/dataset/li-ion-battery-aging-datasets
sensor,High-Resolution Floating Solar PV Data,https://catalog.data.gov/dataset/high-resolution-floating-solar-pv-data
sensor,"Sea Level Trends: Sea Level Variations of the United States Derived from National Water Level Observation Network Stations

            NGDA",https://catalog.data.gov/dataset/sea-level-trends-sea-level-variations-of-the-united-states-derived-from-national-water-level-ob1
sensor,Landsat 8,https://catalog.data.gov/dataset/landsat-8
sensor,Meteorological Data (including visibility),https://catalog.data.gov/dataset/meteorological-data-including-visibility1
sensor,"NOAA NEXt-Generation RADar (NEXRAD) Products

            NGDA",https://catalog.data.gov/dataset/noaa-next-generation-radar-nexrad-products3
sensor,"ASTER Global DEM

            NGDA",https://catalog.data.gov/dataset/aster-global-dem
sensor,Weigh-in-Motion (WIM) Stations,https://catalog.data.gov/dataset/weigh-in-motion-wim-stations
sensor,"Tides and Currents Map: an interactive map of all CO-OPS stations

            NGDA",https://catalog.data.gov/dataset/tides-and-currents-map-an-interactive-map-of-all-co-ops-stations1
sensor,SNOwpack TELemetry Network (SNOTEL),https://catalog.data.gov/dataset/snowpack-telemetry-network-snotel
sensor,Datasets managed by the NSF Arctic Data Center and archived at the NOAA National Centers for Environmental Information,https://catalog.data.gov/dataset/datasets-managed-by-the-nsf-arctic-data-center-and-archived-at-the-noaa-national-centers-for-en
sensor,5-Minute Surface Weather Observations from the Automated Surface Observing Systems (ASOS) Network,https://catalog.data.gov/dataset/5-minute-surface-weather-observations-from-the-automated-surface-observing-systems-asos-network1
